PROJECT DETAILS
Name,Description,Created At
project 11,,2026-04-01T18:25:17.636Z

TASKS
Title,Status,Priority,Assignee,Due Date,Created At
task1,todo,medium,John,,2026-04-01T18:38:03.690Z
task2,todo,medium,Unassigned,,2026-04-01T18:38:54.089Z
task3,todo,medium,Unassigned,,2026-04-01T18:39:11.316Z
task4,todo,low,Unassigned,,2026-04-01T18:39:21.834Z
task5,todo,high,Unassigned,,2026-04-01T18:39:33.614Z
task6,todo,medium,Unassigned,,2026-04-01T18:39:40.079Z
task7,in_progress,medium,Unassigned,,2026-04-01T18:39:45.250Z
task8,done,medium,Unassigned,,2026-04-01T18:39:53.018Z
task9,in_progress,medium,Unassigned,,2026-04-01T18:40:00.108Z
task10,todo,medium,Unassigned,,2026-04-01T18:40:06.042Z
task11,done,medium,Unassigned,,2026-04-01T18:40:19.177Z
member task,todo,high,John,,2026-04-01T19:37:15.882Z
tasks,done,medium,John,,2026-04-01T20:03:11.827Z
member,in_progress,medium,dev,,2026-04-01T20:04:15.355Z

SUMMARY
Total Tasks,14
Todo,8
In Progress,3
Done,3
Low Priority,1
Medium Priority,11
High Priority,2
